ENTIDAD,ANIO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,UNIDAD DE MEDICION,MEDIA
AGUASCALIENTES,1985,11.96709378,14.32585009,17.05189206,17.75792453,21.18322891,19.55581761,18.12221089,18.66265977,18.87605769,17.81299628,14.96477564,13.29193548,�C,16.9643702275
BAJA CALIFORNIA,1985,11.05229031,12.02037131,13.32701348,17.78479254,19.01478004,22.82988577,26.02944373,25.75528961,21.77610186,19.45498442,14.22690352,12.89635277,�C,18.0140174467
BAJA CALIFORNIA SUR,1985,15.70253595,16.34175797,18.86905664,20.61848595,22.77174162,25.0780303,27.94279061,28.5996669,27.4570559,24.07737337,20.21841931,17.89555974,�C,22.1310395217
CAMPECHE,1985,22.9321422,24.3547808,26.76594712,27.19533294,28.38498606,28.04271063,27.60225885,27.68991202,27.22526501,26.54620669,25.55545517,24.34910714,�C,26.3870087192
COAHUILA  DE ZARAGOZA,1985,8.438872239,12.06916381,18.01668683,19.85792984,23.49270759,24.3732705,24.3764977,24.82341437,23.65620861,20.34679414,18.21181145,13.22461498,�C,19.2406643383
COLIMA,1985,22.7860023,22.89827806,24.08173777,24.15733601,25.40889916,26.97917845,25.66144781,26.27514516,25.68265745,25.71122512,23.9531746,23.50555084,�C,24.7583860608
CHIAPAS,1985,20.97491775,22.05685642,24.02181894,24.75066237,25.49561904,24.75887181,24.15682406,24.17007813,23.90448231,23.74477388,22.93695636,22.30616678,�C,23.6065023208
CHIHUAHUA,1985,6.419064343,8.895628235,13.31546044,16.10403048,20.75983103,23.05286846,22.79232743,22.86493833,19.80058104,16.08130178,12.19785539,8.467935295,�C,15.8959851878
DISTRITO FEDERAL,1985,12.98954685,14.15576531,16.72167339,15.82085714,17.62156682,17.1687619,16.07645794,16.75236559,16.50119048,16.04020528,14.48730392,13.35559772,�C,15.6409410283
DURANGO,1985,9.389679757,11.74521949,16.03000864,16.85792292,21.54898631,22.0173428,20.06376309,20.95382741,19.92419873,17.47759352,14.12131851,11.10773726,�C,16.7697998698
GUANAJUATO,1985,13.61081243,15.23518519,18.151807,18.99261905,21.3390633,20.02290123,18.83369972,19.16649285,18.91457393,18.18996698,16.01146154,14.35134409,�C,17.7349939425
GUERRERO,1985,22.9409384,23.34318016,25.04972077,25.89065316,26.70365938,25.37840085,24.32696276,24.33992231,24.33373018,24.62347735,23.68457211,23.42468324,�C,24.5033250558
